Well	well.group	group	strain	treatment	azide	spare	mito	max	run
G09	NA	162 DDT	162	DDT	3.879777778	8.708777778	4.595222222	13.304	5
G10	NA	162 DDT	162	DDT	2.448	2.252333333	6.351	8.603333333	5
G11	NA	162 DDT	162	DDT	3.623055556	-4.732291667	6.542569444	1.810277778	5
G12	NA	162 DDT	162	DDT	4.453333333	-2.502222222	11.92333333	9.421111111	5
C01	NA	162 DMSO	162	DMSO	4.641666667	4.664	11.42733333	16.09133333	7
C02	NA	162 DMSO	162	DMSO	3.37	15.06011905	11.16035714	26.22047619	7
C03	NA	162 DMSO	162	DMSO	3.1825	27.87166667	14.5225	42.39416667	7
C04	NA	162 DMSO	162	DMSO	4.968666667	20.20655556	11.33766667	31.54422222	7
C05	NA	162 DMSO	162	DMSO	4.660833333	11.07583333	9.846666667	20.9225	7
C06	NA	162 DMSO	162	DMSO	6.247692308	12.32378205	10.53673077	22.86051282	7
C07	NA	162 DMSO	162	DMSO	4.492333333	26.82966667	13.76966667	40.59933333	7
C08	NA	162 DMSO	162	DMSO	3.330196078	24.37093137	14.8202451	39.19117647	7
C09	NA	162 DMSO	162	DMSO	6.107142857	19.14047619	19.76571429	38.90619048	7
C10	NA	162 DMSO	162	DMSO	6.232916667	16.03416667	9.797083333	25.83125	7
C11	NA	162 DMSO	162	DMSO	4.428627451	3.235882353	28.22019608	31.45607843	7
C12	NA	162 DMSO	162	DMSO	5.084393939	13.34106061	15.28287879	28.62393939	7
F01	NA	162 DDT	162	DDT	1.990757576	1.653674242	5.814810606	7.468484848	7
F02	NA	162 DDT	162	DDT	1.245454545	1.560984848	3.759318182	5.32030303	7
F03	NA	162 DDT	162	DDT	1.17	10.75092593	4.595	15.34592593	7
F04	NA	162 DDT	162	DDT	1.834090909	2.900113636	6.02625	8.926363636	7
F05	NA	162 DDT	162	DDT	2.508039216	3.9325	8.43122549	12.36372549	7
F06	NA	162 DDT	162	DDT	1.320238095	2.567440476	8.993511905	11.56095238	7
F07	NA	162 DDT	162	DDT	0.254666667	0.33475	7.207583333	7.542333333	7
F08	NA	162 DDT	162	DDT	3.251538462	1.162628205	5.740961538	6.903589744	7
F09	NA	162 DDT	162	DDT	3.153518519	-1.034027778	6.599398148	5.56537037	7
F10	NA	162 DDT	162	DDT	1.181041667	3.739583333	5.442708333	9.182291667	7
F11	NA	162 DDT	162	DDT	3.765952381	3.464107143	4.447797619	7.911904762	7
F12	NA	162 DDT	162	DDT	3.095873016	3.860039683	4.186626984	8.046666667	7
