Measurement	Well	Group	Time	OCR
3	B12	WT Control	10.71	471.02
3	C01	161 Control	10.71	62.94
3	C02	161 Control	10.71	32.37
3	C03	161 Control	10.71	132.81
3	C04	161 Control	10.71	59.83
3	C05	161 Control	10.71	57.38
3	C06	161 Control	10.71	84.19
3	C07	mev-1 Control	10.71	81.37
3	C08	mev-1 Control	10.71	117.35
3	C09	mev-1 Control	10.71	134.03
3	C10	mev-1 Control	10.71	117.38
3	C11	mev-1 Control	10.71	241.25
3	C12	mev-1 Control	10.71	326.27
3	D01	162 Control	10.71	349.75
3	D02	162 Control	10.71	179.44
3	D03	162 Control	10.71	47.69
3	D04	162 Control	10.71	262.89
3	D05	162 Control	10.71	221.68
3	D06	162 Control	10.71	90.12
3	D07	162 Control	10.71	254.95
3	D08	162 Control	10.71	450.20
3	D09	162 Control	10.71	310.95
3	D10	162 Control	10.71	626.37
3	D11	162 Control	10.71	513.17
3	D12	162 Control	10.71	54.81
3	E01	WT DDT	10.71	135.71
3	E02	WT DDT	10.71	276.57
3	E03	WT DDT	10.71	124.77
3	E04	WT DDT	10.71	110.48
3	E05	WT DDT	10.71	49.54
3	E06	WT DDT	10.71	347.22
3	E07	WT DDT	10.71	601.25
3	E08	WT DDT	10.71	145.25
3	E09	WT DDT	10.71	84.51
3	E10	WT DDT	10.71	75.17
3	E11	WT DDT	10.71	66.30
3	E12	WT DDT	10.71	54.88
3	F01	161 DDT	10.71	43.59
3	F02	161 DDT	10.71	24.38
3	F03	161 DDT	10.71	55.49
3	F04	161 DDT	10.71	41.73
3	F05	161 DDT	10.71	48.81
3	F06	161 DDT	10.71	22.14
3	F07	mev-1 DDT	10.71	42.05
3	F08	mev-1 DDT	10.71	13.64
3	F09	mev-1 DDT	10.71	18.45
3	F10	mev-1 DDT	10.71	40.91
3	F11	mev-1 DDT	10.71	30.65
3	F12	mev-1 DDT	10.71	21.69
3	G01	162 DDT	10.71	157.97
3	G02	162 DDT	10.71	43.98
3	G03	162 DDT	10.71	253.25
3	G04	162 DDT	10.71	65.45
3	G05	162 DDT	10.71	42.75
3	G06	162 DDT	10.71	53.38
3	G07	162 DDT	10.71	96.19
3	G08	162 DDT	10.71	131.95
3	G09	162 DDT	10.71	66.16
3	G10	162 DDT	10.71	93.17
3	G11	162 DDT	10.71	58.52
3	G12	162 DDT	10.71	152.00
3	H01	Background	10.71	0.00
3	H02	Background	10.71	0.00
3	H03	Background	10.71	0.00
3	H04	Background	10.71	0.00
3	H05	Background	10.71	0.00
3	H06	Background	10.71	0.00
3	H07	Background	10.71	0.00
3	H08	Background	10.71	0.00
3	H09	Background	10.71	0.00
3	H10	Background	10.71	0.00
3	H11	Background	10.71	0.00
3	H12	Background	10.71	0.00
4	A01	Background	15.68	0.00
4	A02	Background	15.68	0.00
4	A03	Background	15.68	0.00
4	A04	Background	15.68	0.00
4	A05	Background	15.68	0.00
